Line,Pedigree
LA10042D-66-4,"MD08-26-A10-3 / LA09175,F1(VA01-205/AGS2060)"
ARS14W0740,ARS05-0277/Panola
TX15D9385,VA03W-509 / LA95135
LW10070GHB-88,TERRAL LA754/VA04W-90
VA16W-229,P992231A1-2-1 (Patton // Patterson / Bizel /3/ 9346) / LA01*425 (PION2571/Y91-6B) // Shirley (VA03W-409)
LW08281D-7-5,"(SS8641/CK9700)LA07040,F1/LA95135"
FLLA11200DH-136,"LA10140, F1(VA04W-90 / BALDWIN)/LA754"
12VTK10-156,GA031134-10E29 / Yorktown (VA08W-294)
ARS13-295,IN97395B1-4-3-8/AWD99*5725
GA09377-16LE18,01450-1-14-3-5 / 00219-7-4-8-8 // AGS2020
AR07133C-3-4,LA99005UC-31-3/VA05W-500
GA091291-16LE28,021614-23-6-7 / 021765-7-8-8
LA09083C-7-4,"LA01139D-56-1 / LA08061,F1(GA991227-6A33/LA841)"
FLLA10204C-6,LA03012E-27 / GA031005-20-4-5
GA09241-16E24,001169-7E15 / AGS2020 // LA98214/ 991336-6E9
LA10191C-1,"LA09194,F1(VA05W-510/LA841) / LA09041,F1(GA031238-DH7-7A28/VA05W-510)"
13VTK128-75,"VA09W-73 (Yorktown""S"") / HILLIARD (VA11W-108)"
AR07084C-10-1,"LA06101,F1(LA98094BUB-58-5/AGS 2060)/LA99005UC-31-3-C"
13VTK429-3,VA08MAS-369 (McCormick / GA881130LE5) / Yorktown (VA08W-294) // Hilliard (VA11W-108)
AR08005D-11-4,AGS2026/LA841
Hilliard,Pioneer 25R47 / Jamestown
Pioneer 26R41,
NC14-20373,NC04-22849  // NC04-22906 / NC-Yadkin
GA081298-16LE1,00219-7-4 / 021700-23-3
NC11363-25,Jamestown / NC09-22206
TX15D9227,"LA841 / GA081141, F1(LA99005UC-31-3/MO050146)"
FLLA10144C-3,"VA04W-90 / LA09203,F1(AGS2031 / LA01140D-70)"
NC14-22588,NC04-22906 / VA05W-500 // NC-Yadkin
